62003016	Faith	Kasóddóran ta ka ándin tô bánnal ginawa su igpamaté si Cristo na bullas para áknita . Purisu kailangan makataganà ki pamaté na bullas para katô mga kataladi ta .
43013001	Grace	Na , tô ándà pa dunggù tô álló ka Kalimudan Ka Kalabé , taganà dán isóddóran i Jesus na masig dán tumanan sikandin kani banuwa ébô mulì sikandin tun ta Ámmà din . Ágginawaan din tô mga disipulu din nit banuwa , asta igginawaan din sikandan sippang tun ta kamatayan din .
58003017	Sin	Sikandan tô isókówan ka Manama sippang ka kappatan ( 40 ) ámmé su inalayun dan áglumu ka salà , asta inaté tô langun dan tun ta disyerto .
60001014	Recommendation	Bánnal kó katô Manama , su sikiyu tô mga gabatà din . Yakó yu ágnunugi tô madat kakalyag yu dángngan tô ándà kó pa ikasóddór katô kabánnalan .
45011032	Grace	Igpasóddór ka Manama na iglumu ka salà tô langun manubù , agad Judio ó ánnà Judio , ébô pakitanán din tô kédu din tun ta langun .
66006006	Description	Duwán igdinág ku iring na kagi tun ta tángngaan katô áppat matulus mannanap . Igkagiyan din tô igsaké , na mà din , “ Pallayat nu tô lagà ka makan dan , su sábbad dád litro ka trigo na mému bállin ka sábbad abuk ka salapì na denario , asta tállu dád litro ka sebada na mému bállin ka sábbad abuk ka salapì na denario . Asal yaka ágpallayat katô lagà ka langis ka olibo asta katô bino ! ”
59004010	Recommendation	Pabbabà kó tun ta saruwan katô Áglangngagán , asta sikandin tô pallayat ákniyu .
44017031	Grace	su taganà dán igsalin ka Manama tô álló ka ruudan din tô langun manubù . Igsalin din dán tô nángngà rumuud , asta nángngà tô karuud din . Matuman ni , su iganté dán puman ka Manama sikandin . ”
43019002	Description	Igpákkù katô mga sundalo tô dugin balagán , asta tô gó tô igkorona dan tun ta ulu din . Igumpakan dan sikandin ka mallutù kapa .
54005014	Recommendation	Purisu tuu pa madigár ka kumalyag puman tô mga gabayi balu na ánnà pa tugál , asta matà dan , asta dóppónan dan tô kandan pamilya ébô dì dan buyasán katô mga usig ta na dì ágpamaké .
43014011	Faith	Bánnal kó katô igkagi ku na dutunna ta Ámmà ku , asta tô Ámmà ku dini kanak . Atin ka dì kó mánnal katô ágkagin ku , bánnal kó kanak tingód katô mga kasalábbuan na áglumun ku .
66020014	Violence	Igdabù tun ta linó ka apuy tô kamatayan asta tô Hades . Tô linó ka apuy , tô gó tô ikaduwa kamatayan .
58009026	Description	Atin ka dì nángngà , kailangan makapira pô sikandin maté tikud tun ta katigkanayan kani banuwa sippang áknganni . Asal nángngà si Cristo , su ikasábbad dád tô iglumu din ni ka tapuri álló . Igpamanubù sikandin ébô mangé katô salà ta ukit katô kamatayan katô kandin lawa .
44013018	Description	Dalám ka kappatan ámmé , igdóppónan dan ka Manama tun ta disyerto .
46011033	Recommendation	Purisu mga kataladi ku , atin ka ágpalimudé kó ágkan ébô sampáttán tô iyambung katô Áglangngagán , pangaté kó gó .
